kode_bps,nama_bps,kode_dagri,nama_dagri,level
9410036001,AWEBUTU,91.08.28.2003,AWEBUTU,desa
9410036002,PANIBAGATA,91.08.28.2001,PANIBAGATA,desa
9410036003,PUGAIDA / DAUPAIDA,91.08.28.2002,PUGAIDA,desa
9410036004,IPUWA,91.08.28.2004,IPUWA,desa
9410036008,DAWAWA,91.08.19.2019,DAWAWA,desa
9410036009,PAIYOGEI,91.08.28.2007,PAYOGEI,desa
9410036010,DETAUWO,91.08.28.2008,DETAUWO,desa
9410036011,KEDEGE,91.08.28.2006,KEBO I,desa
9410036012,WOYOUTO,91.08.28.2010,WOYOUTO,desa
9410036013,YAIBU,91.08.28.2009,YAIBU,desa
9410040003,UGIDIMI,91.08.09.2002,UGIDIMI,desa
9410040004,BIBIDA,91.08.09.1001,BIBIDA,desa
9410040005,KOLAITAGA,91.08.09.2020,KOLAITAKA,desa
9410040006,ODIYAI,91.08.09.2017,ODIYAI,desa
9410040007,DAMA DAMA,91.08.09.2021,DAMA DAMA,desa
9410040008,KUGAISIGA,91.08.09.2019,KUGAISIGA,desa
9410041006,DOGOMO,91.08.12.2001,DUMA,desa
9410041007,BOMOGBUDUGA,91.08.32.2002,BOMONG BUGOPA,desa
9410041008,DANGGIPA,91.08.32.2003,DANGGIPA,desa
9410041009,ODEGAPA,91.08.12.2005,WAITAPA,desa
9410041010,SOGOMO,91.08.32.2005,SOGOMO,desa
9410070004,TOYAIMOTI,91.08.04.2004,TOYAIMOTI,desa
9410070009,ABATADI,91.08.04.2007,ABATADI,desa
9410070010,DINUBUTU,91.08.04.2038,DINUBUTU,desa
9410070011,DUADIDE,91.08.04.2044,DUWADIDE,desa
9410070012,TAGIYA,91.08.04.2034,TAGIYA,desa
9410070013,EMAI,91.08.04.2036,EMAI,desa
9410070014,KOMOPA,91.08.33.2007,KOMOPA,desa
9410071003,PASIR PUTIH,91.08.21.2002,PASIR PUTIH,desa
9410071004,AGAPO / WIDIMEIDA,91.08.21.2005,WIDIMEIDA,desa
9410071005,GEIDA,91.08.21.2004,GEIDA,desa
9410071006,KENEGI,91.08.21.2014,KENEUGI,desa
9410071007,TEGOUGIPUGAIDA,91.08.21.2022,TEGOUGIPUGAIDA,desa
9410071009,ITEUWO,91.08.21.2007,ITEUWO,desa
9410071010,GAKOKOTU,91.08.34.2009,GAKOKOTU,desa
9410071014,DEBAMOMAIDA,91.08.21.2021,DEBAMOMAIDA,desa
9410071015,MAKIDIMI,91.08.21.2006,MAKIDIMI,desa
9410071016,OGEIDA,91.08.21.2008,OGEIDA,desa
9410072001,DETA,91.08.33.2001,DETA,desa
9410072002,TUGUWAI,91.08.33.2002,TUGUWAI,desa
9410072003,TUGUWAI MOMA,91.08.33.2003,TUGUWAIMOMA,desa
9410072004,BUMAIDA,91.08.33.2004,BUMAIDA,desa
9410072005,DEBAIYE,91.08.33.2005,DEBAIYE,desa
9410074001,OBAIPUGAIDA,91.08.34.2001,OBAIPUGAIDA,desa
9410074002,EYAGITAIDA,91.08.34.2002,EYAGITAIDA,desa
9410074004,MOMAGEIDA,91.08.34.2003,MOMAGEIDA,desa
9410074005,EKAUWIYA,91.08.34.2004,EKAUWIYA,desa
9410074006,DEBAKEBOUDA,91.08.34.2005,DEBAKEBOUDA,desa
9410074007,KAIDOUTADI,91.08.34.2006,KAIDOUTADI,desa
9410074008,POGEIDIMI,91.08.34.2007,POGEIDIMI,desa
9410074010,OKONOBAIDA,91.08.34.2008,OKONOBAIDA,desa
9410074011,BAGUWO,91.08.04.2014,BAGUWO,desa
9410074012,KEGAMA,91.08.34.2010,KEGAMA,desa
9410080003,MOGEYA,91.08.25.2002,MOGEYA,desa
9410080004,OBANO,91.08.02.1001,OBANO,desa
9410080005,KEGOUDA,91.08.02.2002,KEGOUDA,desa
9410080006,TIPAKOTU,91.08.02.2027,TIPAKOTU,desa
9410080007,BEKO,91.08.02.2023,BEKO,desa
9410080009,PAKAGE KEBO,91.08.30.2006,PUPEKEBO,desa
9410080010,IDAIYE,91.08.02.2021,TOTIYO,desa
9410080011,AMOPA,91.08.25.2010,AMOPA,desa
9410080012,EPO OBANO,91.08.02.2039,EPO OBANO,desa
9410080013,TUWAUWO,91.08.02.2041,TUWAUWA,desa
9410080014,WIYOGEI,91.08.02.2042,WIYOGEI,desa
9410080015,EKINAUWO,91.08.02.2043,EKINAUWO,desa
